id,source_file,dataset_key,series_year,period_start,period_end,period_label,jurisdiction,jurisdiction_slug,location,location_slug,age_group,age_group_slug,metric_key,metric_label,metric_group,detection_method,detection_method_slug,fines,arrests,charges,total_actions
fines-07190,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2013,2013-01-01,2013-12-31,Jan 2013,QLD,qld,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,27998,0,0,27998
fines-07191,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2013,2013-01-01,2013-12-31,Jan 2013,QLD,qld,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,762905,0,0,762905
fines-07192,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2013,2013-01-01,2013-12-31,Jan 2013,SA,sa,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,12560,0,0,12560
fines-07193,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2013,2013-01-01,2013-12-31,Jan 2013,SA,sa,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,74391,0,0,74391
fines-07194,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2013,2013-01-01,2013-12-31,Jan 2013,TAS,tas,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,2914,0,0,2914
fines-07195,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2013,2013-01-01,2013-12-31,Jan 2013,TAS,tas,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,7517,0,0,7517
fines-07196,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2013,2013-01-01,2013-12-31,Jan 2013,VIC,vic,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,52452,0,0,52452
fines-07197,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2013,2013-01-01,2013-12-31,Jan 2013,VIC,vic,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,1015986,0,0,1015986
fines-07198,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2013,2013-01-01,2013-12-31,Jan 2013,WA,wa,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,14563,0,0,14563
fines-07199,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2013,2013-01-01,2013-12-31,Jan 2013,WA,wa,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,543491,0,0,543491
fines-07200,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2014,2014-01-01,2014-12-31,Jan 2014,ACT,act,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,1115,0,0,1115
fines-07201,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2014,2014-01-01,2014-12-31,Jan 2014,ACT,act,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,45120,0,0,45120
fines-07202,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2014,2014-01-01,2014-12-31,Jan 2014,NSW,nsw,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,34952,0,0,34952
fines-07203,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2014,2014-01-01,2014-12-31,Jan 2014,NSW,nsw,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,468465,0,0,468465
fines-07204,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2014,2014-01-01,2014-12-31,Jan 2014,NT,nt,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,517,0,0,517
fines-07205,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2014,2014-01-01,2014-12-31,Jan 2014,NT,nt,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,22871,0,0,22871
fines-07206,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2014,2014-01-01,2014-12-31,Jan 2014,QLD,qld,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,25068,0,0,25068
